sigma,seed,zeta_gain,lr,noise,final_V,deltaF90,accept_rate
0.5,41,0.25,0.08,0.019999999999999997,0.5352057472750442,180,0.2578616352201258
0.5,41,0.25,0.08,0.03,0.5878473651877706,179,0.25391849529780564
0.5,41,0.25,0.08,0.04,0.6226813508180757,159,0.25
0.5,41,0.25,0.1,0.019999999999999997,0.5350988091019097,180,0.2578616352201258
0.5,41,0.25,0.1,0.03,0.5876782307017394,179,0.25391849529780564
0.5,41,0.25,0.1,0.04,0.6312013779567855,159,0.25
0.5,41,0.25,0.12000000000000001,0.019999999999999997,0.5349798086192874,180,0.2578616352201258
0.5,41,0.25,0.12000000000000001,0.03,0.5874980506348576,179,0.25391849529780564
0.5,41,0.25,0.12000000000000001,0.04,0.6309332680470909,159,0.25
0.5,41,0.3,0.08,0.019999999999999997,0.5353035975510124,180,0.2578616352201258
0.5,41,0.3,0.08,0.03,0.5863633843638854,179,0.24610591900311526
0.5,41,0.3,0.08,0.04,0.6322757574193133,178,0.24610591900311526
0.5,41,0.3,0.1,0.019999999999999997,0.5351389290658365,180,0.2578616352201258
0.5,41,0.3,0.1,0.03,0.5861749819363207,179,0.24610591900311526
0.5,41,0.3,0.1,0.04,0.6320091080204199,178,0.24610591900311526
0.5,41,0.3,0.12000000000000001,0.019999999999999997,0.5356648299222473,180,0.2578616352201258
0.5,41,0.3,0.12000000000000001,0.03,0.5859761030965368,179,0.24610591900311526
0.5,41,0.3,0.12000000000000001,0.04,0.6341546117608463,178,0.24610591900311526
0.5,41,0.35,0.08,0.019999999999999997,0.5401693055894121,180,0.2578616352201258
0.5,41,0.35,0.08,0.03,0.5880115528196812,179,0.2578616352201258
0.5,41,0.35,0.08,0.04,0.631338085101161,178,0.23839009287925697
0.5,41,0.35,0.1,0.019999999999999997,0.540031813387784,180,0.2578616352201258
0.5,41,0.35,0.1,0.03,0.5878798680368622,179,0.25391849529780564
0.5,41,0.35,0.1,0.04,0.6320469850596909,178,0.23839009287925697
0.5,41,0.35,0.12000000000000001,0.019999999999999997,0.5404831046001337,180,0.2618296529968454
0.5,41,0.35,0.12000000000000001,0.03,0.587687295821381,179,0.25391849529780564
0.5,41,0.35,0.12000000000000001,0.04,0.6319451185016299,178,0.23839009287925697
0.5,42,0.25,0.08,0.019999999999999997,0.5305583609846244,182,0.30293159609120524
0.5,42,0.25,0.08,0.03,0.5856436564916184,179,0.31511254019292606
0.5,42,0.25,0.08,0.04,0.6405266693701791,179,0.326984126984127
