sigma,zeta_gain,seed,lr,noise,final_V,deltaF90,accept_rate
0.5,0.3,41,0.1,0.02,0.5622471461142589,176,0.6666666666666666
0.5,0.3,41,0.1,0.03,0.6305769973731907,176,0.5245901639344263
0.5,0.3,41,0.12,0.02,0.5623913180865908,176,0.6666666666666666
0.5,0.3,41,0.12,0.03,0.6306084218935241,176,0.5049180327868853
0.5,0.3,41,0.15,0.02,0.5621133422502202,176,0.6053511705685619
0.5,0.3,41,0.15,0.03,0.6306043031825167,176,0.46885245901639344
0.5,0.3,42,0.1,0.02,0.5584181094711722,188,0.6756756756756757
0.5,0.3,42,0.1,0.03,0.6246763891965547,186,0.6756756756756757
0.5,0.3,42,0.12,0.02,0.5584164153286356,188,0.6722972972972973
0.5,0.3,42,0.12,0.03,0.624784384138245,186,0.6756756756756757
0.5,0.3,42,0.15,0.02,0.5582958745863594,188,0.6621621621621622
0.5,0.3,42,0.15,0.03,0.6268981200562069,186,0.6722972972972973
0.5,0.3,43,0.1,0.02,0.5507230669793787,174,0.589171974522293
0.5,0.3,43,0.1,0.03,0.6050178397861308,169,0.5828025477707006
0.5,0.3,43,0.12,0.02,0.5505854253215412,174,0.5764331210191083
0.5,0.3,43,0.12,0.03,0.6044152829078694,160,0.5095541401273885
0.5,0.3,43,0.15,0.02,0.5503408560908377,174,0.5477707006369427
0.5,0.3,43,0.15,0.03,0.6038337605353131,169,0.5348101265822784
0.5,0.5,41,0.1,0.02,0.5697489236312747,176,0.40540540540540543
0.5,0.5,41,0.1,0.03,0.6269325880837324,177,0.3841059602649007
0.5,0.5,41,0.12,0.02,0.5708570938239881,176,0.367003367003367
0.5,0.5,41,0.12,0.03,0.6267901843261202,177,0.3708609271523179
0.5,0.5,41,0.15,0.02,0.5707357239594243,176,0.367003367003367
0.5,0.5,41,0.15,0.03,0.6264941782744065,177,0.3708609271523179
0.5,0.5,42,0.1,0.02,0.5669950060224213,189,0.5412541254125413
0.5,0.5,42,0.1,0.03,0.6353656719306217,188,0.54
0.5,0.5,42,0.12,0.02,0.5659895429741616,188,0.5672131147540984
0.5,0.5,42,0.12,0.03,0.6351193402916333,188,0.54
0.5,0.5,42,0.15,0.02,0.5654521326252616,188,0.5478547854785478
0.5,0.5,42,0.15,0.03,0.6346810865039311,188,0.5333333333333333
0.5,0.5,43,0.1,0.02,0.5520400526869845,169,0.42038216560509556
0.5,0.5,43,0.1,0.03,0.6030252094694278,168,0.3722397476340694
0.5,0.5,43,0.12,0.02,0.5515429267246713,169,0.4440894568690096
0.5,0.5,43,0.12,0.03,0.6025623469223875,162,0.4037854889589905
0.5,0.5,43,0.15,0.02,0.5515522835849986,169,0.4394904458598726
0.5,0.5,43,0.15,0.03,0.6019607620883658,159,0.4037854889589905
0.5,0.7,41,0.1,0.02,0.581265578855873,169,0.6118421052631579
0.5,0.7,41,0.1,0.03,0.6353938850145077,166,0.6084142394822006
0.5,0.7,41,0.12,0.02,0.5831912331052731,169,0.6118421052631579
0.5,0.7,41,0.12,0.03,0.6319238571030229,166,0.6045016077170418
0.5,0.7,41,0.15,0.02,0.5840962475823488,169,0.6118421052631579
0.5,0.7,41,0.15,0.03,0.6329322420676455,166,0.6045016077170418
0.5,0.7,42,0.1,0.02,0.5938227031511093,170,0.5946843853820598
0.5,0.7,42,0.1,0.03,0.6671708107704093,170,0.603225806451613
0.5,0.7,42,0.12,0.02,0.5949040449128024,170,0.5946843853820598
0.5,0.7,42,0.12,0.03,0.6683279318573546,170,0.603225806451613
0.5,0.7,42,0.15,0.02,0.5965086103594652,172,0.5980066445182725
0.5,0.7,42,0.15,0.03,0.6699824537630443,170,0.603225806451613
0.5,0.7,43,0.1,0.02,0.6032212178625459,165,0.6245847176079734
0.5,0.7,43,0.1,0.03,0.6797652041778579,165,0.6233766233766234
0.5,0.7,43,0.12,0.02,0.6044482410213186,165,0.6266666666666667
0.5,0.7,43,0.12,0.03,0.6807441024928086,165,0.6233766233766234
0.5,0.7,43,0.15,0.02,0.6060043885641935,165,0.6233333333333333
0.5,0.7,43,0.15,0.03,0.6834432950627708,165,0.6254071661237784
0.55,0.3,41,0.1,0.02,0.5581391566531357,177,0.6566666666666666
0.55,0.3,41,0.1,0.03,0.5846047663111418,180,0.26582278481012656
0.55,0.3,41,0.12,0.02,0.5566256839191391,177,0.6588628762541806
0.55,0.3,41,0.12,0.03,0.5844167807027191,180,0.26582278481012656
0.55,0.3,41,0.15,0.02,0.5618816313912429,176,0.6086956521739131
0.55,0.3,41,0.15,0.03,0.5841138866853558,180,0.26582278481012656
0.55,0.3,42,0.1,0.02,0.5581992968466396,188,0.6756756756756757
0.55,0.3,42,0.1,0.03,0.6248637120134342,188,0.6734006734006734
0.55,0.3,42,0.12,0.02,0.5582103788062138,188,0.6722972972972973
0.55,0.3,42,0.12,0.03,0.624512358822826,186,0.6756756756756757
0.55,0.3,42,0.15,0.02,0.5581080734094624,188,0.6621621621621622
0.55,0.3,42,0.15,0.03,0.6245787796574481,186,0.668918918918919
0.55,0.3,43,0.1,0.02,0.5505746531920036,174,0.589171974522293
0.55,0.3,43,0.1,0.03,0.6041926558171574,169,0.580952380952381
0.55,0.3,43,0.12,0.02,0.5504468890340898,174,0.5764331210191083
0.55,0.3,43,0.12,0.03,0.6052333909009486,169,0.5833333333333334
0.55,0.3,43,0.15,0.02,0.5502144100378518,174,0.5477707006369427
0.55,0.3,43,0.15,0.03,0.6036957562343636,169,0.5348101265822784
0.55,0.5,41,0.1,0.02,0.5675086145869792,177,0.4391891891891892
0.55,0.5,41,0.1,0.03,0.6298790573943599,177,0.39144736842105265
0.55,0.5,41,0.12,0.02,0.5697791252880756,176,0.41836734693877553
0.55,0.5,41,0.12,0.03,0.6297289438205058,177,0.3782894736842105
0.55,0.5,41,0.15,0.02,0.5698487056658519,176,0.4033898305084746
0.55,0.5,41,0.15,0.03,0.629431487955356,177,0.375
0.55,0.5,42,0.1,0.02,0.5677386712906192,189,0.4966887417218543
0.55,0.5,42,0.1,0.03,0.6351600317479233,188,0.55
0.55,0.5,42,0.12,0.02,0.5675820796939794,189,0.4966887417218543
0.55,0.5,42,0.12,0.03,0.6349917846919005,188,0.53
0.55,0.5,42,0.15,0.02,0.5651905828589207,188,0.5577557755775577
0.55,0.5,42,0.15,0.03,0.6345970980122585,188,0.5266666666666666
0.55,0.5,43,0.1,0.02,0.5525564888864483,169,0.4472843450479233
0.55,0.5,43,0.1,0.03,0.6029702398874222,162,0.3785488958990536
0.55,0.5,43,0.12,0.02,0.5523628192842456,169,0.46645367412140576
0.55,0.5,43,0.12,0.03,0.602722179257164,162,0.3627760252365931
0.55,0.5,43,0.15,0.02,0.55121690533279,169,0.4745222929936306
0.55,0.5,43,0.15,0.03,0.6008679259622871,162,0.4031746031746032
0.55,0.7,41,0.1,0.02,0.5832578343025431,169,0.6118421052631579
0.55,0.7,41,0.1,0.03,0.6318232702747841,166,0.6045016077170418
0.55,0.7,41,0.12,0.02,0.5838973955186567,169,0.6118421052631579
0.55,0.7,41,0.12,0.03,0.6325304480692365,166,0.6045016077170418
0.55,0.7,41,0.15,0.02,0.5847851537382646,169,0.6118421052631579
0.55,0.7,41,0.15,0.03,0.6335197462702942,166,0.6045016077170418
0.55,0.7,42,0.1,0.02,0.5947151676594671,170,0.5980066445182725
0.55,0.7,42,0.1,0.03,0.6679622427443215,170,0.603225806451613
0.55,0.7,42,0.12,0.02,0.5957903488789105,170,0.5980066445182725
0.55,0.7,42,0.12,0.03,0.6691043882351263,170,0.603225806451613
0.55,0.7,42,0.15,0.02,0.5972815593465991,173,0.5946843853820598
0.55,0.7,42,0.15,0.03,0.6706775425607793,170,0.6
0.55,0.7,43,0.1,0.02,0.6042919488218715,165,0.6287625418060201
0.55,0.7,43,0.1,0.03,0.6805109448006231,165,0.6233766233766234
0.55,0.7,43,0.12,0.02,0.6052966511048911,165,0.6266666666666667
0.55,0.7,43,0.12,0.03,0.6814750967216957,165,0.6233766233766234
0.55,0.7,43,0.15,0.02,0.6080782180285197,165,0.6245847176079734
0.55,0.7,43,0.15,0.03,0.6841426888984913,165,0.6254071661237784
0.6,0.3,41,0.1,0.02,0.5482225318033193,180,0.2698412698412698
0.6,0.3,41,0.1,0.03,0.5903230999035044,179,0.25
0.6,0.3,41,0.12,0.02,0.5480859561751237,180,0.2698412698412698
0.6,0.3,41,0.12,0.03,0.5885521335591218,179,0.25391849529780564
0.6,0.3,41,0.15,0.02,0.5478573763979747,180,0.2698412698412698
0.6,0.3,41,0.15,0.03,0.592095770212894,179,0.24610591900311526
0.6,0.3,42,0.1,0.02,0.5399841698248828,173,0.2698412698412698
0.6,0.3,42,0.1,0.03,0.6174568554586004,188,0.6511627906976745
0.6,0.3,42,0.12,0.02,0.539915312138934,173,0.2698412698412698
0.6,0.3,42,0.12,0.03,0.61842558888848,188,0.6490066225165563
0.6,0.3,42,0.15,0.02,0.5397862138102837,173,0.2698412698412698
0.6,0.3,42,0.15,0.03,0.6196572223293119,188,0.6521739130434783
0.6,0.3,43,0.1,0.02,0.5570038691793425,178,0.3289036544850498
0.6,0.3,43,0.1,0.03,0.6179566235044136,183,0.30293159609120524
0.6,0.3,43,0.12,0.02,0.5567860252632199,178,0.3289036544850498
0.6,0.3,43,0.12,0.03,0.6179259897237104,183,0.30293159609120524
0.6,0.3,43,0.15,0.02,0.5564289926078926,178,0.3289036544850498
0.6,0.3,43,0.15,0.03,0.6178540709454052,183,0.30293159609120524
0.6,0.5,41,0.1,0.02,0.5536386409309635,180,0.28205128205128205
0.6,0.5,41,0.1,0.03,0.610652772641031,179,0.3546325878594249
0.6,0.5,41,0.12,0.02,0.553363018140049,180,0.3
0.6,0.5,41,0.12,0.03,0.6104673586430115,179,0.3546325878594249
0.6,0.5,41,0.15,0.02,0.5533366413853323,180,0.2861736334405145
0.6,0.5,41,0.15,0.03,0.6101913462370747,179,0.3450479233226837
0.6,0.5,42,0.1,0.02,0.5642758566457139,188,0.5723684210526315
0.6,0.5,42,0.1,0.03,0.6401076612493646,188,0.5866666666666667
0.6,0.5,42,0.12,0.02,0.5640223264593849,188,0.555921052631579
0.6,0.5,42,0.12,0.03,0.6400807643250839,188,0.57
0.6,0.5,42,0.15,0.02,0.5644103792428983,188,0.5331125827814569
0.6,0.5,42,0.15,0.03,0.6400107785821415,188,0.5166666666666667
0.6,0.5,43,0.1,0.02,0.5522232926806505,169,0.48562300319488816
0.6,0.5,43,0.1,0.03,0.6020711916794139,168,0.42948717948717946
0.6,0.5,43,0.12,0.02,0.5523616134386824,169,0.46984126984126984
0.6,0.5,43,0.12,0.03,0.6019145437898064,168,0.42628205128205127
0.6,0.5,43,0.15,0.02,0.5516496527599828,169,0.5396825396825397
0.6,0.5,43,0.15,0.03,0.5963190192281216,157,0.4169278996865204
0.6,0.7,41,0.1,0.02,0.5839532456282887,169,0.6118421052631579
0.6,0.7,41,0.1,0.03,0.6324206291101043,166,0.6045016077170418
